Date,Scrip,Open,High,Low,Close,PreClose,AdjClose,Volume,Value,Trade,Change,DateString,DateEpoch
/Date(1390262400000)/,1JANATAMF,6.2,6.4,6.2,6.3,0,0,329000,0,0,0,21/01/2014 00:00:00,1390262400000
/Date(1390348800000)/,1JANATAMF,6.3,6.6,6.3,6.5,0,0,1639500,0,0,0,22/01/2014 00:00:00,1390348800000
/Date(1390435200000)/,1JANATAMF,6.5,7.1,6.5,6.9,0,0,1677000,0,0,0,23/01/2014 00:00:00,1390435200000
/Date(1390694400000)/,1JANATAMF,7.1,7.4,6.9,7,0,0,1082500,0,0,0,26/01/2014 00:00:00,1390694400000
/Date(1390780800000)/,1JANATAMF,6.9,7,6.7,6.8,0,0,819500,0,0,0,27/01/2014 00:00:00,1390780800000
/Date(1390867200000)/,1JANATAMF,6.8,6.9,6.8,6.8,0,0,376500,0,0,0,28/01/2014 00:00:00,1390867200000
/Date(1390953600000)/,1JANATAMF,6.9,7,6.7,6.9,0,0,431500,0,0,0,29/01/2014 00:00:00,1390953600000
/Date(1391040000000)/,1JANATAMF,7,7,6.8,6.9,0,0,598500,0,0,0,30/01/2014 00:00:00,1391040000000
/Date(1391299200000)/,1JANATAMF,6.9,7,6.8,6.8,0,0,309500,0,0,0,02/02/2014 00:00:00,1391299200000
/Date(1391385600000)/,1JANATAMF,6.9,7,6.8,6.8,0,0,297500,0,0,0,03/02/2014 00:00:00,1391385600000
/Date(1391472000000)/,1JANATAMF,6.9,7.2,6.9,7.1,0,0,1165500,0,0,0,04/02/2014 00:00:00,1391472000000
/Date(1391558400000)/,1JANATAMF,7.1,7.1,7,7,0,0,681000,0,0,0,05/02/2014 00:00:00,1391558400000
/Date(1391644800000)/,1JANATAMF,7,7.1,6.8,6.8,0,0,366000,0,0,0,06/02/2014 00:00:00,1391644800000
/Date(1391904000000)/,1JANATAMF,6.9,7,6.8,6.8,0,0,553500,0,0,0,09/02/2014 00:00:00,1391904000000
/Date(1391990400000)/,1JANATAMF,6.8,6.9,6.7,6.7,0,0,647500,0,0,0,10/02/2014 00:00:00,1391990400000
/Date(1392076800000)/,1JANATAMF,6.7,6.9,6.7,6.7,0,0,162000,0,0,0,11/02/2014 00:00:00,1392076800000
/Date(1392163200000)/,1JANATAMF,6.9,6.9,6.7,6.8,0,0,153000,0,0,0,12/02/2014 00:00:00,1392163200000
/Date(1392249600000)/,1JANATAMF,6.7,6.9,6.7,6.8,0,0,155500,0,0,0,13/02/2014 00:00:00,1392249600000
/Date(1392508800000)/,1JANATAMF,6.7,6.8,6.7,6.7,0,0,360000,0,0,0,16/02/2014 00:00:00,1392508800000
/Date(1392595200000)/,1JANATAMF,6.7,6.8,6.7,6.7,0,0,84500,0,0,0,17/02/2014 00:00:00,1392595200000
/Date(1392681600000)/,1JANATAMF,6.7,6.8,6.7,6.7,0,0,232000,0,0,0,18/02/2014 00:00:00,1392681600000
/Date(1392768000000)/,1JANATAMF,6.8,7,6.8,6.9,0,0,470500,0,0,0,19/02/2014 00:00:00,1392768000000
/Date(1392854400000)/,1JANATAMF,6.8,7,6.8,6.8,0,0,433000,0,0,0,20/02/2014 00:00:00,1392854400000
/Date(1393113600000)/,1JANATAMF,6.8,6.9,6.8,6.8,0,0,663500,0,0,0,23/02/2014 00:00:00,1393113600000
/Date(1393200000000)/,1JANATAMF,6.8,6.9,6.8,6.8,0,0,245000,0,0,0,24/02/2014 00:00:00,1393200000000
/Date(1393286400000)/,1JANATAMF,6.8,6.9,6.7,6.8,0,0,777000,0,0,0,25/02/2014 00:00:00,1393286400000
/Date(1393372800000)/,1JANATAMF,6.8,6.9,6.8,6.8,0,0,97500,0,0,0,26/02/2014 00:00:00,1393372800000
/Date(1393459200000)/,1JANATAMF,6.8,6.9,6.8,6.8,0,0,363000,0,0,0,27/02/2014 00:00:00,1393459200000
/Date(1393718400000)/,1JANATAMF,6.8,6.9,6.8,6.8,0,0,555000,0,0,0,02/03/2014 00:00:00,1393718400000
/Date(1393804800000)/,1JANATAMF,6.9,6.9,6.7,6.7,0,0,1026500,0,0,0,03/03/2014 00:00:00,1393804800000
/Date(1393891200000)/,1JANATAMF,6.7,6.9,6.7,6.8,0,0,195500,0,0,0,04/03/2014 00:00:00,1393891200000
/Date(1393977600000)/,1JANATAMF,6.8,6.9,6.8,6.8,0,0,529500,0,0,0,05/03/2014 00:00:00,1393977600000
/Date(1394064000000)/,1JANATAMF,6.8,6.9,6.7,6.8,0,0,164000,0,0,0,06/03/2014 00:00:00,1394064000000
/Date(1394323200000)/,1JANATAMF,6.7,6.8,6.7,6.7,0,0,176500,0,0,0,09/03/2014 00:00:00,1394323200000
/Date(1394409600000)/,1JANATAMF,6.7,6.8,6.6,6.7,0,0,154500,0,0,0,10/03/2014 00:00:00,1394409600000
/Date(1394496000000)/,1JANATAMF,6.6,6.8,6.6,6.7,0,0,73000,0,0,0,11/03/2014 00:00:00,1394496000000
/Date(1394582400000)/,1JANATAMF,6.7,6.8,6.6,6.7,0,0,199000,0,0,0,12/03/2014 00:00:00,1394582400000
/Date(1394668800000)/,1JANATAMF,6.6,6.8,6.6,6.7,0,0,309000,0,0,0,13/03/2014 00:00:00,1394668800000
/Date(1394928000000)/,1JANATAMF,6.6,6.8,6.5,6.5,0,0,141500,0,0,0,16/03/2014 00:00:00,1394928000000
/Date(1395100800000)/,1JANATAMF,6.6,6.6,6.2,6.2,0,0,277500,0,0,0,18/03/2014 00:00:00,1395100800000
/Date(1395187200000)/,1JANATAMF,6.3,6.5,6.3,6.3,0,0,166000,0,0,0,19/03/2014 00:00:00,1395187200000
/Date(1395273600000)/,1JANATAMF,6.7,6.7,6.3,6.3,0,0,61500,0,0,0,20/03/2014 00:00:00,1395273600000
/Date(1395532800000)/,1JANATAMF,6.3,6.5,6.3,6.4,0,0,110500,0,0,0,23/03/2014 00:00:00,1395532800000
/Date(1395619200000)/,1JANATAMF,6.2,6.4,6.2,6.2,0,0,94000,0,0,0,24/03/2014 00:00:00,1395619200000
/Date(1395705600000)/,1JANATAMF,6.2,6.4,6.2,6.2,0,0,68000,0,0,0,25/03/2014 00:00:00,1395705600000
/Date(1395878400000)/,1JANATAMF,6.2,6.3,6.2,6.2,0,0,32500,0,0,0,27/03/2014 00:00:00,1395878400000
